subdomain,http_status,server_header,open_ports,cors_issues,fingerprints,takeover_risks,cloud_saas,cloud_assets
eggtransport.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: eggtransport.chaldal.com.s3.amazonaws.com; Predicted exists: eggtransport.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://eggtransport.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://eggtransport-chaldal-com.cloudfront.net; azure_blob [unknown] https://eggtransport.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://eggtransport.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://eggtransport.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://eggtransport.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://eggtransport.chaldal.com.wasabisys.com
eggyolk.chaldal.com,404,nginx,"443,80",,"{""server"":""nginx""}",,Predicted exists: eggyolk.chaldal.com.s3.amazonaws.com; Predicted exists: eggyolk.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://eggyolk.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://eggyolk-chaldal-com.cloudfront.net; azure_blob [unknown] https://eggyolk.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://eggyolk.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://eggyolk.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://eggyolk.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://eggyolk.chaldal.com.wasabisys.com
email.chaldal.com,404,,"80,443",,,,Predicted exists: email.chaldal.com.s3.amazonaws.com; Predicted exists: email.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://email.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://email-chaldal-com.cloudfront.net; azure_blob [unknown] https://email.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://email.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://email.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://email.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://email.chaldal.com.wasabisys.com
gogo.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: gogo.chaldal.com.s3.amazonaws.com; Predicted exists: gogo.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://gogo.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://gogo-chaldal-com.cloudfront.net; azure_blob [unknown] https://gogo.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://gogo.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://gogo.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://gogo.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://gogo.chaldal.com.wasabisys.com
groceryintegration-api.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: groceryintegration-api.chaldal.com.s3.amazonaws.com; Predicted exists: groceryintegration-api.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://groceryintegration-api.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://groceryintegration-api-chaldal-com.cloudfront.net; azure_blob [unknown] https://groceryintegration-api.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://groceryintegration-api.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://groceryintegration-api.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://groceryintegration-api.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://groceryintegration-api.chaldal.com.wasabisys.com
mapping-ui.chaldal.com,200,nginx,"80,443",,"{""server"":""nginx"",""x-powered-by"":""Express""}",,Predicted exists: mapping-ui.chaldal.com.s3.amazonaws.com; Predicted exists: mapping-ui.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://mapping-ui.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://mapping-ui-chaldal-com.cloudfront.net; azure_blob [unknown] https://mapping-ui.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://mapping-ui.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://mapping-ui.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://mapping-ui.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://mapping-ui.chaldal.com.wasabisys.com
mapping.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: mapping.chaldal.com.s3.amazonaws.com; Predicted exists: mapping.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://mapping.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://mapping-chaldal-com.cloudfront.net; azure_blob [unknown] https://mapping.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://mapping.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://mapping.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://mapping.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://mapping.chaldal.com.wasabisys.com
osm.chaldal.com,200,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: osm.chaldal.com.s3.amazonaws.com; Predicted exists: osm.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://osm.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://osm-chaldal-com.cloudfront.net; azure_blob [unknown] https://osm.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://osm.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://osm.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://osm.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://osm.chaldal.com.wasabisys.com
pk-api.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: pk-api.chaldal.com.s3.amazonaws.com; Predicted exists: pk-api.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://pk-api.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://pk-api-chaldal-com.cloudfront.net; azure_blob [unknown] https://pk-api.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://pk-api.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://pk-api.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://pk-api.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://pk-api.chaldal.com.wasabisys.com
pk.chaldal.com,200,nginx,"80,443",,"{""server"":""nginx"",""x-powered-by"":""Express""}",,Predicted exists: pk.chaldal.com.s3.amazonaws.com; Predicted exists: pk.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://pk.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://pk-chaldal-com.cloudfront.net; azure_blob [unknown] https://pk.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://pk.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://pk.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://pk.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://pk.chaldal.com.wasabisys.com
yearbook.chaldal.com,200,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: yearbook.chaldal.com.s3.amazonaws.com; Predicted exists: yearbook.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://yearbook.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://yearbook-chaldal-com.cloudfront.net; azure_blob [unknown] https://yearbook.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://yearbook.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://yearbook.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://yearbook.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://yearbook.chaldal.com.wasabisys.com
